No,hour_A,PM2.5_A,PM10_A,SO2_A,NO2_A,CO_A,O3_A,TEMP_A,station_A,hour_C,PM2.5_C,PM10_C,SO2_C,NO2_C,CO_C,O3_C,TEMP_C,station_C,Date
9200,7,63.0,141.0,18.0,86.0,900.0,2.0,6.3,Aotizhongxin,7,54.0,84.0,23.0,60.0,1100.0,11.0,5.5,Changping,2014-03-19
9201,8,76.0,137.0,27.0,87.0,1300.0,2.0,7.7,Aotizhongxin,8,60.0,151.0,28.0,67.0,1400.0,6.0,7.1,Changping,2014-03-19
9202,9,83.0,167.0,32.0,90.0,1600.0,2.0,8.2,Aotizhongxin,9,68.0,196.0,30.0,61.0,1300.0,17.0,8.0,Changping,2014-03-19
9203,10,88.0,168.0,34.0,91.0,1600.0,2.0,8.6,Aotizhongxin,10,67.0,122.0,30.0,66.0,1200.0,18.0,9.0,Changping,2014-03-19
9204,11,77.0,128.0,32.0,89.0,1300.0,4.0,9.7,Aotizhongxin,11,75.0,110.0,28.0,53.0,1100.0,37.0,10.0,Changping,2014-03-19
9205,12,70.0,111.0,34.0,82.0,1200.0,11.0,10.3,Aotizhongxin,12,69.0,112.0,27.0,54.0,1000.0,39.0,9.9,Changping,2014-03-19
9206,13,72.0,115.0,29.0,75.0,1100.0,22.0,11.3,Aotizhongxin,13,62.0,161.0,21.0,32.0,800.0,58.0,11.5,Changping,2014-03-19
9207,14,71.0,118.0,24.0,63.0,1000.0,36.0,13.1,Aotizhongxin,14,31.0,39.0,18.0,11.0,500.0,73.0,12.7,Changping,2014-03-19
9208,15,69.0,117.0,18.0,50.0,900.0,56.0,13.7,Aotizhongxin,15,33.0,21.0,14.0,13.0,400.0,78.0,12.9,Changping,2014-03-19
9209,16,58.0,92.0,16.0,40.0,700.0,70.0,12.3,Aotizhongxin,16,25.0,29.0,12.0,15.0,400.0,83.0,14.5,Changping,2014-03-19
9210,17,49.0,80.0,12.0,37.0,600.0,76.0,10.9,Aotizhongxin,17,35.0,46.0,11.0,16.0,500.0,89.0,13.0,Changping,2014-03-19
9211,18,41.0,55.0,11.0,30.0,600.0,79.0,11.0,Aotizhongxin,18,17.0,19.0,4.0,11.0,300.0,79.0,12.1,Changping,2014-03-19
9212,19,40.0,59.0,11.0,41.0,600.0,63.0,11.9,Aotizhongxin,19,8.0,112.0,2.0,8.0,300.0,81.0,11.3,Changping,2014-03-19
9213,20,23.0,147.0,2.0,17.0,400.0,72.0,11.1,Aotizhongxin,20,11.0,44.0,2.0,7.0,300.0,84.0,10.7,Changping,2014-03-19
9214,21,14.0,97.0,2.0,15.0,300.0,72.0,10.2,Aotizhongxin,21,11.0,77.0,2.0,9.0,300.0,81.0,10.0,Changping,2014-03-19
9215,22,18.0,174.0,2.0,9.0,300.0,76.0,9.7,Aotizhongxin,22,13.0,133.0,2.0,4.0,200.0,87.0,9.2,Changping,2014-03-19
9216,23,17.0,138.0,2.0,8.0,300.0,76.0,9.2,Aotizhongxin,23,12.0,140.0,2.0,3.0,200.0,87.0,8.9,Changping,2014-03-19
9217,0,10.0,51.0,2.0,7.0,300.0,75.0,8.7,Aotizhongxin,0,9.0,26.0,2.0,3.0,200.0,83.0,8.9,Changping,2014-03-20
9218,1,9.0,23.0,2.0,12.0,300.0,67.0,7.1,Aotizhongxin,1,7.0,14.0,2.0,2.0,200.0,85.0,8.5,Changping,2014-03-20
9219,2,7.0,19.0,2.0,17.0,300.0,61.0,7.1,Aotizhongxin,2,8.0,12.0,2.0,2.0,200.0,84.0,6.8,Changping,2014-03-20
9220,3,8.0,16.0,2.0,22.0,300.0,55.0,6.6,Aotizhongxin,3,8.0,20.0,4.0,33.0,300.0,47.0,6.0,Changping,2014-03-20
9221,4,6.0,16.0,2.0,34.0,300.0,40.0,7.0,Aotizhongxin,4,10.0,30.0,10.0,27.0,400.0,52.0,5.6,Changping,2014-03-20
9222,5,9.0,24.0,5.0,38.0,300.0,37.0,6.8,Aotizhongxin,5,11.0,30.0,15.0,33.0,500.0,41.0,5.2,Changping,2014-03-20
9223,6,11.0,20.0,8.0,28.0,300.0,46.0,6.5,Aotizhongxin,6,9.0,26.0,17.0,34.0,500.0,40.0,5.8,Changping,2014-03-20
9224,7,13.0,17.0,11.0,35.0,400.0,36.0,9.5,Aotizhongxin,7,12.0,33.0,15.0,33.0,500.0,41.0,9.1,Changping,2014-03-20
9225,8,11.0,35.0,12.0,41.0,500.0,34.0,11.2,Aotizhongxin,8,15.0,47.0,27.0,46.0,700.0,27.0,10.7,Changping,2014-03-20
9226,9,11.0,31.0,10.0,22.0,400.0,55.0,12.8,Aotizhongxin,9,10.0,44.0,23.0,29.0,500.0,49.0,11.9,Changping,2014-03-20
9227,10,12.0,29.0,10.0,15.0,400.0,65.0,13.6,Aotizhongxin,10,9.0,31.0,11.0,16.0,400.0,67.0,13.6,Changping,2014-03-20
9228,11,16.0,26.0,7.0,13.0,300.0,71.0,14.7,Aotizhongxin,11,10.0,47.0,11.0,17.0,400.0,70.0,14.6,Changping,2014-03-20
9229,12,10.0,29.0,6.0,11.0,400.0,77.0,16.0,Aotizhongxin,12,13.0,39.0,8.0,13.0,300.0,77.0,16.6,Changping,2014-03-20
9230,13,18.0,37.0,4.0,9.0,300.0,84.0,17.7,Aotizhongxin,13,12.0,57.0,10.0,13.0,400.0,61.0,17.7,Changping,2014-03-20
9231,14,13.0,41.0,4.0,9.0,300.0,87.0,18.2,Aotizhongxin,14,14.0,33.0,4.0,8.0,300.0,89.0,18.6,Changping,2014-03-20
9232,15,16.0,42.0,4.0,9.0,300.0,89.0,18.8,Aotizhongxin,15,16.0,24.0,3.0,9.0,300.0,88.0,19.2,Changping,2014-03-20
9233,16,14.0,36.0,4.0,9.0,300.0,90.0,18.9,Aotizhongxin,16,6.0,14.0,2.0,8.0,300.0,86.0,18.6,Changping,2014-03-20
9234,17,12.0,30.0,2.0,10.0,300.0,88.0,17.2,Aotizhongxin,17,5.0,19.0,2.0,8.0,300.0,85.0,17.4,Changping,2014-03-20
9235,18,12.0,31.0,4.0,16.0,400.0,79.0,13.4,Aotizhongxin,18,10.0,23.0,2.0,13.0,300.0,79.0,15.9,Changping,2014-03-20
9236,19,10.0,28.0,2.0,27.0,400.0,63.0,10.8,Aotizhongxin,19,10.0,29.0,2.0,25.0,400.0,67.0,14.6,Changping,2014-03-20
9237,20,21.0,37.0,2.0,51.0,600.0,32.0,8.6,Aotizhongxin,20,13.0,23.0,3.0,18.0,400.0,73.0,14.5,Changping,2014-03-20
9238,21,15.0,39.0,2.0,51.0,500.0,33.0,11.6,Aotizhongxin,21,6.0,20.0,2.0,14.0,300.0,73.0,14.6,Changping,2014-03-20
9239,22,10.0,29.0,2.0,39.0,400.0,41.0,10.9,Aotizhongxin,22,9.0,22.0,2.0,16.0,300.0,71.0,13.4,Changping,2014-03-20
9240,23,11.0,29.0,2.0,32.0,400.0,48.0,7.8,Aotizhongxin,23,9.0,23.0,2.0,12.0,300.0,76.0,11.7,Changping,2014-03-20
9241,0,9.0,23.0,2.0,19.0,300.0,61.0,8.2,Aotizhongxin,0,7.0,20.0,3.0,12.0,300.0,75.0,8.6,Changping,2014-03-21
9242,1,8.0,22.0,2.0,23.0,300.0,57.0,6.3,Aotizhongxin,1,17.0,34.0,7.0,59.0,700.0,26.0,9.1,Changping,2014-03-21
9243,2,11.0,28.0,3.0,44.0,300.0,31.0,4.6,Aotizhongxin,2,20.0,55.0,13.0,77.0,700.0,4.0,7.5,Changping,2014-03-21
9244,3,15.0,32.0,5.0,55.0,400.0,18.0,4.2,Aotizhongxin,3,15.0,40.0,5.0,51.0,400.0,28.0,6.7,Changping,2014-03-21
9245,4,14.0,33.0,17.0,61.0,500.0,9.0,2.8,Aotizhongxin,4,13.0,52.0,9.0,81.0,600.0,3.0,7.3,Changping,2014-03-21
9246,5,30.0,110.0,23.0,80.0,600.0,2.0,1.8,Aotizhongxin,5,15.0,30.0,16.0,81.0,700.0,23.0,8.4,Changping,2014-03-21
9247,6,22.0,86.0,21.0,78.0,800.0,2.0,1.9,Aotizhongxin,6,12.0,28.0,26.0,27.0,600.0,41.0,9.7,Changping,2014-03-21
9248,7,23.0,100.0,24.0,80.0,900.0,2.0,9.6,Aotizhongxin,7,12.0,40.0,33.0,27.0,600.0,42.0,11.6,Changping,2014-03-21
9249,8,49.0,210.0,38.0,82.0,1500.0,2.0,15.1,Aotizhongxin,8,16.0,42.0,37.0,30.0,600.0,40.0,15.4,Changping,2014-03-21
9250,9,29.0,69.0,31.0,62.0,900.0,14.0,16.7,Aotizhongxin,9,19.0,46.0,34.0,27.0,600.0,45.0,17.6,Changping,2014-03-21
9251,10,25.0,55.0,24.0,58.0,900.0,19.0,17.9,Aotizhongxin,10,16.0,36.0,20.0,21.0,500.0,59.0,18.7,Changping,2014-03-21
9252,11,26.0,50.0,18.0,62.0,800.0,25.0,19.6,Aotizhongxin,11,11.0,18.0,10.0,14.0,400.0,72.0,19.7,Changping,2014-03-21
9253,12,21.0,41.0,9.0,57.0,700.0,42.0,20.4,Aotizhongxin,12,14.0,17.0,9.0,10.0,300.0,81.0,20.8,Changping,2014-03-21
9254,13,27.0,52.0,7.0,38.0,500.0,72.0,20.3,Aotizhongxin,13,14.0,17.0,8.0,9.0,300.0,85.0,22.0,Changping,2014-03-21
9255,14,22.0,50.0,4.0,22.0,400.0,88.0,21.0,Aotizhongxin,14,10.0,11.0,5.0,8.0,300.0,91.0,22.9,Changping,2014-03-21
9256,15,24.0,59.0,4.0,23.0,400.0,100.0,20.7,Aotizhongxin,15,11.0,17.0,6.0,9.0,300.0,94.0,22.7,Changping,2014-03-21
9257,16,24.0,87.0,4.0,29.0,400.0,90.0,20.4,Aotizhongxin,16,13.0,51.0,6.0,14.0,300.0,100.0,20.6,Changping,2014-03-21
9258,17,24.0,84.0,4.0,35.0,400.0,80.0,19.2,Aotizhongxin,17,28.0,94.0,5.0,20.0,300.0,100.0,19.6,Changping,2014-03-21
9259,18,29.0,101.0,6.0,44.0,400.0,76.0,18.0,Aotizhongxin,18,25.0,96.0,7.0,32.0,400.0,80.0,18.2,Changping,2014-03-21
9260,19,38.0,113.0,8.0,57.0,500.0,62.0,17.6,Aotizhongxin,19,33.0,110.0,10.0,42.0,500.0,72.0,16.0,Changping,2014-03-21
9261,20,47.0,126.0,9.0,74.0,600.0,43.0,15.5,Aotizhongxin,20,33.0,114.0,11.0,50.0,600.0,56.0,13.1,Changping,2014-03-21
9262,21,48.0,125.0,13.0,62.0,600.0,51.0,15.7,Aotizhongxin,21,53.0,127.0,20.0,87.0,1100.0,15.0,12.0,Changping,2014-03-21
9263,22,50.0,136.0,16.0,56.0,600.0,48.0,11.0,Aotizhongxin,22,40.0,80.0,12.0,38.0,700.0,50.0,11.3,Changping,2014-03-21
9264,23,55.0,135.0,15.0,64.0,600.0,31.0,9.7,Aotizhongxin,23,35.0,75.0,12.0,26.0,600.0,58.0,10.3,Changping,2014-03-21
9265,0,57.0,137.0,17.0,75.0,700.0,12.0,7.9,Aotizhongxin,0,34.0,70.0,11.0,23.0,600.0,63.0,8.8,Changping,2014-03-22
9266,1,59.0,140.0,18.0,90.0,800.0,2.0,6.4,Aotizhongxin,1,35.0,68.0,12.0,24.0,600.0,57.0,7.8,Changping,2014-03-22
9267,2,61.0,140.0,16.0,78.0,900.0,2.0,5.7,Aotizhongxin,2,32.0,68.0,10.0,18.0,600.0,61.0,7.8,Changping,2014-03-22
9268,3,80.0,313.0,21.0,93.0,900.0,2.0,4.6,Aotizhongxin,3,34.0,64.0,11.0,18.0,700.0,57.0,7.0,Changping,2014-03-22
9269,4,76.0,208.0,20.0,95.0,1000.0,2.0,4.0,Aotizhongxin,4,35.0,71.0,13.0,29.0,700.0,43.0,6.2,Changping,2014-03-22
9270,5,82.0,208.0,20.0,95.0,1200.0,2.0,3.7,Aotizhongxin,5,40.0,93.0,15.0,49.0,1200.0,17.0,6.4,Changping,2014-03-22
9271,6,86.0,244.0,23.0,95.0,1400.0,2.0,3.4,Aotizhongxin,6,50.0,109.0,22.0,62.0,1800.0,5.0,11.4,Changping,2014-03-22
9272,7,76.0,193.0,20.0,90.0,1300.0,2.0,8.1,Aotizhongxin,7,52.0,131.0,21.0,66.0,1800.0,2.0,15.3,Changping,2014-03-22
9273,8,80.0,192.0,27.0,94.0,1400.0,2.0,14.6,Aotizhongxin,8,53.0,78.0,50.0,48.0,1100.0,25.0,17.7,Changping,2014-03-22
9274,9,77.0,190.0,28.0,94.0,1200.0,2.0,18.5,Aotizhongxin,9,37.0,90.0,53.0,30.0,800.0,52.0,19.8,Changping,2014-03-22
9275,10,75.0,158.0,37.0,93.0,1300.0,11.0,20.8,Aotizhongxin,10,29.0,69.0,36.0,21.0,600.0,67.0,20.7,Changping,2014-03-22
9276,11,85.0,192.0,28.0,88.0,1100.0,25.0,21.4,Aotizhongxin,11,24.0,52.0,17.0,13.0,400.0,77.0,21.4,Changping,2014-03-22
9277,12,46.0,83.0,19.0,42.0,700.0,65.0,22.5,Aotizhongxin,12,16.0,44.0,7.0,9.0,300.0,86.0,22.4,Changping,2014-03-22
9278,13,25.0,53.0,8.0,21.0,400.0,86.0,23.1,Aotizhongxin,13,12.0,49.0,13.0,13.0,400.0,83.0,23.0,Changping,2014-03-22
9279,14,15.0,52.0,6.0,14.0,400.0,93.0,23.6,Aotizhongxin,14,18.0,40.0,12.0,12.0,300.0,92.0,23.8,Changping,2014-03-22
9280,15,19.0,60.0,8.0,15.0,400.0,95.0,22.7,Aotizhongxin,15,19.0,41.0,9.0,10.0,300.0,98.0,24.0,Changping,2014-03-22
9281,16,16.0,56.0,2.0,18.0,300.0,98.0,21.6,Aotizhongxin,16,20.0,35.0,8.0,8.0,300.0,104.0,21.7,Changping,2014-03-22
9282,17,16.0,90.0,2.0,18.0,300.0,103.0,20.0,Aotizhongxin,17,13.0,123.0,2.0,7.0,200.0,107.0,20.6,Changping,2014-03-22
9283,18,13.0,45.0,2.0,25.0,300.0,92.0,15.6,Aotizhongxin,18,12.0,97.0,2.0,8.0,200.0,103.0,18.6,Changping,2014-03-22
9284,19,17.0,60.0,2.0,54.0,500.0,58.0,11.6,Aotizhongxin,19,15.0,73.0,2.0,17.0,300.0,87.0,15.3,Changping,2014-03-22
9285,20,36.0,107.0,3.0,115.0,1300.0,2.0,14.2,Aotizhongxin,20,23.0,64.0,3.0,31.0,400.0,69.0,14.0,Changping,2014-03-22
9286,21,42.0,131.0,10.0,96.0,1100.0,18.0,14.1,Aotizhongxin,21,40.0,96.0,13.0,67.0,1000.0,24.0,15.5,Changping,2014-03-22
9287,22,99.0,308.0,38.0,67.0,1500.0,57.0,13.4,Aotizhongxin,22,32.0,104.0,14.0,58.0,700.0,30.0,14.7,Changping,2014-03-22
9288,23,142.0,257.0,53.0,78.0,1900.0,46.0,11.1,Aotizhongxin,23,79.0,252.0,33.0,57.0,1300.0,50.0,12.9,Changping,2014-03-22
9289,0,104.0,144.0,38.0,58.0,1300.0,62.0,10.0,Aotizhongxin,0,115.0,265.0,48.0,52.0,1800.0,57.0,12.2,Changping,2014-03-23
9290,1,84.0,138.0,34.0,75.0,1000.0,38.0,8.2,Aotizhongxin,1,105.0,192.0,39.0,54.0,1600.0,54.0,9.7,Changping,2014-03-23
9291,2,88.0,182.0,34.0,102.0,1200.0,5.0,6.5,Aotizhongxin,2,106.0,226.0,40.0,62.0,1700.0,36.0,7.8,Changping,2014-03-23
9292,3,93.0,169.0,34.0,96.0,1500.0,8.0,5.9,Aotizhongxin,3,95.0,170.0,38.0,51.0,1600.0,43.0,7.4,Changping,2014-03-23
9293,4,104.0,164.0,37.0,101.0,1500.0,6.0,5.0,Aotizhongxin,4,79.0,140.0,29.0,29.0,1400.0,52.0,6.1,Changping,2014-03-23
9294,5,105.0,176.0,38.0,106.0,1600.0,2.0,5.5,Aotizhongxin,5,87.0,152.0,30.0,35.0,1400.0,45.0,6.6,Changping,2014-03-23
9295,6,108.0,155.0,33.0,105.0,1600.0,2.0,6.8,Aotizhongxin,6,88.0,150.0,30.0,31.0,1500.0,48.0,6.1,Changping,2014-03-23
9296,7,111.0,173.0,33.0,111.0,1700.0,2.0,9.0,Aotizhongxin,7,95.0,166.0,30.0,35.0,1500.0,48.0,8.3,Changping,2014-03-23
9297,8,132.0,224.0,43.0,110.0,1900.0,2.0,11.7,Aotizhongxin,8,99.0,165.0,36.0,52.0,1600.0,32.0,11.4,Changping,2014-03-23
9298,9,145.0,249.0,51.0,115.0,2100.0,2.0,14.2,Aotizhongxin,9,107.0,194.0,39.0,67.0,1700.0,26.0,13.2,Changping,2014-03-23
9299,10,153.0,248.0,53.0,123.0,2200.0,2.0,15.5,Aotizhongxin,10,123.0,227.0,49.0,69.0,1700.0,39.0,14.7,Changping,2014-03-23
9300,11,149.0,187.0,59.0,108.0,1800.0,36.0,16.9,Aotizhongxin,11,146.0,219.0,67.0,55.0,1700.0,71.0,16.6,Changping,2014-03-23
9301,12,115.0,132.0,42.0,69.0,1200.0,91.0,18.2,Aotizhongxin,12,141.0,189.0,57.0,66.0,1600.0,77.0,18.0,Changping,2014-03-23
9302,13,127.0,153.0,41.0,65.0,1200.0,106.0,18.6,Aotizhongxin,13,135.0,182.0,47.0,76.0,1500.0,80.0,18.5,Changping,2014-03-23
9303,14,135.0,182.0,43.0,52.0,1100.0,132.0,18.9,Aotizhongxin,14,107.0,131.0,37.0,36.0,1000.0,134.0,18.9,Changping,2014-03-23
9304,15,150.0,177.0,47.0,44.0,1100.0,151.0,18.9,Aotizhongxin,15,119.0,174.0,40.0,33.0,1100.0,152.0,18.6,Changping,2014-03-23
9305,16,163.0,199.0,53.0,54.0,1300.0,147.0,18.5,Aotizhongxin,16,143.0,202.0,46.0,35.0,1200.0,161.0,18.5,Changping,2014-03-23
9306,17,164.0,207.0,49.0,55.0,1300.0,152.0,18.0,Aotizhongxin,17,165.0,220.0,51.0,38.0,1200.0,165.0,17.8,Changping,2014-03-23
9307,18,152.0,191.0,39.0,59.0,1400.0,146.0,16.0,Aotizhongxin,18,165.0,208.0,47.0,36.0,1200.0,166.0,17.1,Changping,2014-03-23
9308,19,143.0,174.0,36.0,72.0,1200.0,127.0,16.4,Aotizhongxin,19,160.0,199.0,44.0,46.0,1400.0,147.0,16.1,Changping,2014-03-23
9309,20,112.0,140.0,30.0,61.0,800.0,116.0,14.5,Aotizhongxin,20,168.0,213.0,44.0,62.0,1700.0,105.0,15.6,Changping,2014-03-23
9310,21,131.0,199.0,38.0,121.0,1000.0,51.0,14.6,Aotizhongxin,21,213.0,260.0,61.0,82.0,2100.0,69.0,14.3,Changping,2014-03-23
9311,22,176.0,263.0,47.0,128.0,1500.0,38.0,12.7,Aotizhongxin,22,227.0,279.0,64.0,77.0,2300.0,64.0,13.4,Changping,2014-03-23
9312,23,216.0,251.0,60.0,102.0,1800.0,47.0,9.7,Aotizhongxin,23,225.0,281.0,57.0,70.0,2200.0,58.0,12.7,Changping,2014-03-23
9313,0,233.0,264.0,54.0,140.0,2000.0,4.0,10.1,Aotizhongxin,0,224.0,262.0,55.0,70.0,2100.0,50.0,11.0,Changping,2014-03-24
9314,1,236.0,261.0,48.0,141.0,2700.0,2.0,9.1,Aotizhongxin,1,223.0,245.0,54.0,69.0,1900.0,46.0,9.5,Changping,2014-03-24
9315,2,235.0,254.0,47.0,137.0,2800.0,2.0,8.9,Aotizhongxin,2,225.0,245.0,54.0,77.0,1900.0,34.0,8.0,Changping,2014-03-24
9316,3,234.0,246.0,44.0,129.0,2400.0,2.0,8.3,Aotizhongxin,3,202.0,219.0,42.0,66.0,1900.0,34.0,7.0,Changping,2014-03-24
9317,4,246.0,274.0,37.0,124.0,2000.0,2.0,7.7,Aotizhongxin,4,188.0,199.0,36.0,64.0,2100.0,19.0,6.2,Changping,2014-03-24
9318,5,239.0,279.0,37.0,118.0,1900.0,2.0,7.5,Aotizhongxin,5,212.0,261.0,31.0,64.0,2300.0,2.0,6.6,Changping,2014-03-24
9319,6,243.0,287.0,36.0,115.0,1900.0,2.0,7.6,Aotizhongxin,6,218.0,231.0,31.0,92.0,2200.0,5.0,6.8,Changping,2014-03-24
9320,7,250.0,280.0,32.0,111.0,2000.0,2.0,9.3,Aotizhongxin,7,191.0,206.0,34.0,68.0,2000.0,18.0,8.0,Changping,2014-03-24
9321,8,248.0,281.0,45.0,107.0,2100.0,2.0,10.9,Aotizhongxin,8,193.0,216.0,42.0,74.0,2000.0,14.0,10.6,Changping,2014-03-24
9322,9,256.0,269.0,65.0,107.0,2100.0,5.0,12.6,Aotizhongxin,9,237.0,252.0,54.0,87.0,2300.0,12.0,12.6,Changping,2014-03-24
9323,10,269.0,286.0,68.0,107.0,2100.0,18.0,14.6,Aotizhongxin,10,250.0,294.0,54.0,92.0,2300.0,24.0,14.5,Changping,2014-03-24
9324,11,269.0,298.0,75.0,108.0,2100.0,31.0,16.9,Aotizhongxin,11,242.0,285.0,67.0,71.0,2000.0,72.0,16.6,Changping,2014-03-24
9325,12,280.0,300.0,74.0,118.0,2200.0,49.0,18.4,Aotizhongxin,12,262.0,293.0,76.0,63.0,2000.0,106.0,18.6,Changping,2014-03-24
9326,13,228.0,258.0,64.0,110.0,2000.0,84.0,19.2,Aotizhongxin,13,266.0,285.0,72.0,64.0,2000.0,120.0,19.7,Changping,2014-03-24
9327,14,204.0,239.0,55.0,111.0,1900.0,94.0,20.3,Aotizhongxin,14,256.0,233.0,63.0,58.0,1800.0,151.0,20.6,Changping,2014-03-24
9328,15,246.0,265.0,57.0,129.0,1900.0,87.0,20.2,Aotizhongxin,15,205.0,218.0,53.0,55.0,1600.0,172.0,20.6,Changping,2014-03-24
9329,16,229.0,258.0,65.0,102.0,1500.0,109.0,19.6,Aotizhongxin,16,197.0,230.0,51.0,77.0,1700.0,158.0,20.3,Changping,2014-03-24
9330,17,157.0,185.0,60.0,64.0,1100.0,130.0,18.9,Aotizhongxin,17,231.0,253.0,50.0,103.0,1800.0,122.0,19.4,Changping,2014-03-24
9331,18,165.0,212.0,59.0,62.0,1200.0,128.0,17.5,Aotizhongxin,18,212.0,227.0,56.0,77.0,1500.0,129.0,17.6,Changping,2014-03-24
9332,19,181.0,227.0,73.0,73.0,1300.0,109.0,14.9,Aotizhongxin,19,207.0,223.0,57.0,79.0,1500.0,108.0,15.3,Changping,2014-03-24
9333,20,196.0,270.0,66.0,108.0,1500.0,57.0,12.5,Aotizhongxin,20,208.0,240.0,57.0,121.0,1800.0,52.0,14.2,Changping,2014-03-24
9334,21,204.0,265.0,58.0,124.0,1500.0,34.0,11.2,Aotizhongxin,21,187.0,223.0,52.0,90.0,1900.0,65.0,13.9,Changping,2014-03-24
9335,22,223.0,292.0,50.0,160.0,1900.0,2.0,10.3,Aotizhongxin,22,195.0,223.0,45.0,70.0,1800.0,80.0,12.5,Changping,2014-03-24
9336,23,250.0,397.0,46.0,163.0,2000.0,2.0,11.6,Aotizhongxin,23,190.0,210.0,44.0,60.0,1700.0,78.0,11.2,Changping,2014-03-24
9337,0,242.0,291.0,45.0,159.0,2200.0,2.0,10.8,Aotizhongxin,0,189.0,228.0,39.0,108.0,2000.0,26.0,10.7,Changping,2014-03-25
9338,1,268.0,366.0,52.0,175.0,2500.0,2.0,10.0,Aotizhongxin,1,220.0,196.0,38.0,63.0,1700.0,62.0,9.9,Changping,2014-03-25
9339,2,274.0,358.0,37.0,152.0,2500.0,2.0,10.0,Aotizhongxin,2,189.0,235.0,38.0,100.0,2100.0,24.0,9.4,Changping,2014-03-25
9340,3,268.0,318.0,26.0,132.0,1900.0,2.0,9.3,Aotizhongxin,3,197.0,215.0,39.0,76.0,1800.0,42.0,10.1,Changping,2014-03-25
9341,4,265.0,287.0,27.0,138.0,1800.0,2.0,9.1,Aotizhongxin,4,186.0,196.0,38.0,45.0,1600.0,64.0,10.0,Changping,2014-03-25
9342,5,211.0,255.0,26.0,138.0,1800.0,2.0,9.5,Aotizhongxin,5,216.0,194.0,40.0,40.0,1600.0,67.0,9.1,Changping,2014-03-25
9343,6,233.0,245.0,38.0,132.0,1800.0,2.0,9.5,Aotizhongxin,6,185.0,215.0,35.0,96.0,2100.0,12.0,9.9,Changping,2014-03-25
9344,7,244.0,257.0,39.0,126.0,1800.0,2.0,11.3,Aotizhongxin,7,210.0,186.0,42.0,59.0,1600.0,52.0,12.5,Changping,2014-03-25
9345,8,238.0,268.0,43.0,126.0,2000.0,2.0,14.0,Aotizhongxin,8,193.0,153.0,47.0,51.0,1500.0,64.0,14.6,Changping,2014-03-25
9346,9,235.0,254.0,53.0,124.0,2000.0,2.0,16.6,Aotizhongxin,9,194.0,239.0,44.0,88.0,2000.0,30.0,17.3,Changping,2014-03-25
9347,10,228.0,241.0,51.0,119.0,1900.0,18.0,18.8,Aotizhongxin,10,241.0,414.0,45.0,141.0,2600.0,2.0,18.5,Changping,2014-03-25
9348,11,233.0,268.0,49.0,110.0,1800.0,47.0,20.1,Aotizhongxin,11,255.0,341.0,44.0,149.0,2300.0,9.0,19.8,Changping,2014-03-25
9349,12,235.0,264.0,53.0,85.0,1600.0,104.0,20.7,Aotizhongxin,12,252.0,332.0,52.0,108.0,1800.0,68.0,20.8,Changping,2014-03-25
9350,13,183.0,241.0,63.0,71.0,1500.0,137.0,22.3,Aotizhongxin,13,250.0,269.0,64.0,51.0,1500.0,156.0,21.8,Changping,2014-03-25
9351,14,188.0,253.0,61.0,85.0,1600.0,148.0,22.1,Aotizhongxin,14,211.0,244.0,69.0,41.0,1500.0,188.0,22.1,Changping,2014-03-25
9352,15,238.0,255.0,60.0,79.0,1400.0,174.0,22.1,Aotizhongxin,15,203.0,244.0,73.0,37.0,1500.0,206.0,22.2,Changping,2014-03-25
9353,16,223.0,272.0,55.0,82.0,1300.0,168.0,21.5,Aotizhongxin,16,243.0,260.0,66.0,46.0,1500.0,216.0,21.8,Changping,2014-03-25
9354,17,201.0,238.0,45.0,75.0,1200.0,158.0,20.4,Aotizhongxin,17,219.0,272.0,62.0,70.0,1800.0,194.0,21.0,Changping,2014-03-25
9355,18,171.0,221.0,42.0,68.0,1000.0,144.0,18.5,Aotizhongxin,18,250.0,282.0,56.0,84.0,1700.0,166.0,19.5,Changping,2014-03-25
9356,19,177.0,208.0,48.0,78.0,1100.0,127.0,17.6,Aotizhongxin,19,213.0,255.0,48.0,80.0,1500.0,137.0,17.6,Changping,2014-03-25
9357,20,156.0,187.0,47.0,103.0,1000.0,68.0,16.7,Aotizhongxin,20,223.0,248.0,45.0,112.0,1800.0,76.0,15.9,Changping,2014-03-25
9358,21,147.0,182.0,40.0,128.0,1000.0,25.0,14.6,Aotizhongxin,21,227.0,252.0,44.0,124.0,1900.0,51.0,15.6,Changping,2014-03-25
9359,22,147.0,182.0,40.0,128.0,1000.0,25.0,12.3,Aotizhongxin,22,227.0,252.0,44.0,124.0,1900.0,51.0,15.0,Changping,2014-03-25
9360,23,166.0,209.0,43.0,130.0,1100.0,15.0,11.5,Aotizhongxin,23,177.0,190.0,42.0,41.0,1400.0,121.0,13.2,Changping,2014-03-25
9361,0,192.0,315.0,36.0,134.0,1300.0,2.0,10.3,Aotizhongxin,0,168.0,207.0,39.0,88.0,1700.0,64.0,12.8,Changping,2014-03-26
9362,1,182.0,218.0,32.0,131.0,1400.0,2.0,10.9,Aotizhongxin,1,182.0,211.0,34.0,97.0,1600.0,51.0,12.2,Changping,2014-03-26
9363,2,220.0,246.0,37.0,154.0,1800.0,2.0,10.1,Aotizhongxin,2,163.0,172.0,34.0,54.0,1300.0,87.0,11.3,Changping,2014-03-26
9364,3,248.0,320.0,35.0,160.0,1900.0,2.0,8.7,Aotizhongxin,3,197.0,211.0,29.0,134.0,1700.0,3.0,10.3,Changping,2014-03-26
